,bbl,price_per_blgd,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES
0,1004350011,8500000,371827.0,604802.0
1,1004180047,5350000,367698.0,195124.0
2,2028970127,5000000,509943.0,327277.0
4,3012190056,4330000,393020.0,172158.0
5,2031560027,11500000,1088416.0,555507.0
6,1012110003,6350000,136554.0,82694.0
7,3014830003,30600000,1383250.0,472343.0
8,3019690022,46300000,2627041.0,918680.0
9,3033040019,12900000,647646.0,221993.0
10,3033040014,15700000,697251.0,227309.0
11,1014690030,2875000,2432532.0,1786267.0
12,1015790040,2695000,159572.0,84125.0
13,1015640038,3920000,282943.0,272973.0
14,1015640037,3185000,255042.0,125231.0
15,1015640021,2450000,193626.0,173350.0
16,2029270014,1800000,194043.0,126470.0
17,1008840048,11000000,4632779.0,2081792.0
18,1014840051,6050000,256029.0,77970.0
19,1014840049,7800000,447628.0,125376.0
20,3046750045,2900000,324887.0,301644.0
21,2030020047,3700000,439600.0,221416.0
22,1015210064,27250000,1154346.0,523661.0
23,1015790137,5289000,292160.0,246566.0
24,2037380001,7100000,810290.0,392924.0
25,2037380010,7900000,960347.0,398078.0
26,1021750100,7850000,694932.0,371052.0
27,3051390032,8500000,802169.0,537267.0
28,3051220044,5700000,485316.0,383374.0
29,3012280060,12725000,1179497.0,694900.0
30,1008580008,380600000,21035454.0,18300930.0
31,1013430036,66248000,2680861.0,1476913.0
32,3069960071,1600000,153053.0,59437.0
33,4017050035,4785000,501156.0,276034.0
34,1013470001,7100000,276862.0,123122.0
35,3024950008,2400000,187740.0,140056.0
36,3024950008,2400000,187740.0,140056.0
37,1017270006,5150000,455268.0,313109.0
38,2032840057,4125000,481436.0,252763.0
39,2049940041,5050000,439558.0,323191.0
40,2038120001,3960000,434518.0,244179.0
41,1013980014,5750000,340985.0,110291.0
42,1012050022,20000000,1007974.0,524773.0
44,3013140050,6100000,521952.0,218069.0
45,1005250032,11000000,744581.0,298558.0
46,1014530010,3700000,353213.0,269897.0
47,2028080062,12480000,1112043.0,454549.0
48,3058510040,5485000,312852.0,127674.0
49,1006100060,92600000,5075867.0,1916148.0
50,2039840001,11250000,1242416.0,788214.0
51,3007090058,9000000,912786.0,150049.0
52,3009510046,3000000,238902.0,52680.0
53,3050560081,4150000,311986.0,81990.0
54,4034890024,950000,78696.0,80251.0
55,3026250040,760000,410313.0,50801.0
56,3026250040,1000000,410313.0,50801.0
57,1011220019,6060000,388110.0,55712.0
58,3027610010,3800000,262460.0,113224.0
59,3012060028,5585336,636192.0,323002.0
60,2032730321,5500000,548322.0,362376.0
61,1019870029,5925000,343752.0,279068.0
62,1019880123,8425000,826688.0,402312.0
63,1004070054,2800000,222461.0,230041.0
64,4034000002,1220000,47564.0,58103.0
65,1010750049,4000000,302948.0,154784.0
66,1014670144,2800000,61410.0,34746.0
67,3016760001,4451128,1933521.0,1335090.0
68,3018580024,4772727,1532590.0,1206664.0
69,2031030020,6250000,687184.0,435243.0
70,2022920037,11250000,979416.0,815472.0
71,1014400019,5504500,366974.0,85625.0
72,1014400020,4595500,365130.0,101529.0
73,1012000002,11400000,1386449.0,107011.0
74,3011050063,4200000,246658.0,74120.0
75,2033050010,3100000,248551.0,166871.0
76,1012040054,3100000,8175.0,47145.0
77,2028050045,6350000,465093.0,245231.0
78,3009340039,3700000,216216.0,56289.0
79,1015510045,4500000,308000.0,102488.0
80,1021420063,6000000,452403.0,197048.0
81,1021420078,5000000,387741.0,164101.0
82,1021420081,4400000,424906.0,271023.0
83,1021420097,5200000,393514.0,235635.0
84,2022660005,5000000,469000.0,385000.0
85,1007450049,4700000,279917.0,334432.0
86,2023790026,1400000,109680.0,94450.0
87,2031620009,2987500,279143.0,182536.0
88,1010320101,2900000,19598.0,63572.0
89,2024260002,1900000,151437.0,106637.0
90,1006250044,3318000,127179.0,74188.0
